orderID,productID,unitPrice,quantity,discount,revenue,customerID,shipperID
10248,11,14,12,0,168,VINET,1
10248,42,9.8,10,0,98,TOMSP,2
10248,72,34.8,5,0,174,HANAR,3
10249,14,18.6,9,0,167.4,VICTE,
10249,51,42.4,40,0,1696,SUPRD,
10250,41,7.7,10,0,77,HANAR,
10250,51,42.4,35,0.15,1484,CHOPS,
10250,65,16.8,15,0.15,252,RICSU,
10251,22,16.8,6,0.05,100.8,WELLI,
10251,57,15.6,15,0.05,234,HILAA,
10251,65,16.8,20,0,336,ERNSH,
10252,20,64.8,40,0.05,2592,CENTC,
10252,33,2,25,0.05,50,OTTIK,
10252,60,27.2,40,0,1088,QUEDE,
10253,31,10,20,0,200,RATTC,
10253,39,14.4,42,0,604.8,ERNSH,
10253,49,16,40,0,640,FOLKO,
10254,24,3.6,15,0.15,54,BLONP,
10254,55,19.2,21,0.15,403.2,WARTH,
10254,74,8,21,0,168,FRANK,
10255,2,15.2,20,0,304,GROSR,
10255,16,13.9,35,0,486.5,WHITC,
10255,36,15.2,25,0,380,WARTH,
10255,59,44,30,0,1320,SPLIR,
10256,53,26.2,15,0,393,RATTC,
10256,77,10.4,12,0,124.8,QUICK,
10257,27,35.1,25,0,877.5,VINET,
10257,39,14.4,6,0,86.4,MAGAA,
10257,77,10.4,15,0,156,TORTU,
10258,2,15.2,50,0.2,760,MORGK,
10258,5,17,65,0.2,1105,BERGS,
10258,32,25.6,6,0.2,153.6,LEHMS,
10259,21,8,10,0,80,BERGS,
10259,37,20.8,1,0,20.8,ROMEY,
10260,41,7.7,16,0.25,123.2,ROMEY,
10260,57,15.6,50,0,780,LILAS,
10260,62,39.4,15,0.25,591,LEHMS,
10260,70,12,21,0.25,252,QUICK,
10261,21,8,20,0,160,QUICK,
10261,35,14.4,20,0,288,RICAR,
10262,5,17,12,0.2,204,REGGC,
10262,7,24,15,0,360,BSBEV,
10262,56,30.4,2,0,60.8,COMMI,
10263,16,13.9,60,0.25,834,QUEDE,
10263,24,3.6,28,0,100.8,TRADH,
10263,30,20.7,60,0.25,1242,TORTU,
10263,74,8,36,0.25,288,RATTC,
10264,2,15.2,35,0,532,VINET,
10264,41,7.7,25,0.15,192.5,LILAS,
10265,17,31.2,30,0,936,BLONP,
10265,70,12,20,0,240,HUNGO,
10266,12,30.4,12,0.05,364.8,RICAR,
10267,40,14.7,50,0,735,MAGAA,
10267,59,44,70,0.15,3080,WANDK,
10267,76,14.4,15,0.15,216,SUPRD,
10268,29,99,10,0,990,GODOS,
10268,72,27.8,4,0,111.2,TORTU,
10269,33,2,60,0.05,120,OLDWO,
10269,72,27.8,20,0.05,556,ROMEY,
10270,36,15.2,30,0,456,LONEP,
10270,43,36.8,25,0,920,ANATR,
10271,33,2,24,0,48,HUNGO,
10272,20,64.8,6,0,388.8,THEBI,
10272,31,10,40,0,400,DUMON,
10272,72,27.8,24,0,667.2,WANDK,
10273,10,24.8,24,0.05,595.2,QUICK,
10273,31,10,15,0.05,150,RATTC,
10273,33,2,20,0,40,ISLAT,
10273,40,14.7,60,0.05,882,RATTC,
10273,76,14.4,33,0.05,475.2,LONEP,
10274,71,17.2,20,0,344,ISLAT,
10274,72,27.8,7,0,194.6,TORTU,
10275,24,3.6,12,0.05,43.2,WARTH,
10275,59,44,6,0.05,264,ISLAT,
10276,10,24.8,15,0,372,PERIC,
10276,13,4.8,10,0,48,KOENE,
10277,28,36.4,20,0,728,SAVEA,
10277,62,39.4,12,0,472.8,KOENE,
10278,44,15.5,16,0,248,BOLID,
10278,59,44,15,0,660,FOLKO,
10278,63,35.1,8,0,280.8,FURIB,
10278,73,12,25,0,300,SPLIR,
10279,17,31.2,15,0.25,468,LILAS,
10280,24,3.6,12,0,43.2,BONAP,
10280,55,19.2,20,0,384,MEREP,
10280,75,6.2,30,0,186,WARTH,
10281,19,7.3,1,0,7.3,VICTE,
10281,24,3.6,6,0,21.6,HUNGO,
10281,35,14.4,4,0,57.6,PRINI,
10282,30,20.7,6,0,124.2,FRANK,
10282,57,15.6,2,0,31.2,OLDWO,
10283,15,12.4,20,0,248,MEREP,
10283,19,7.3,18,0,131.4,BONAP,
10283,60,27.2,35,0,952,SIMOB,
10283,72,27.8,3,0,83.4,FRANK,
10284,27,35.1,15,0.25,526.5,LEHMS,
10284,44,15.5,21,0,325.5,WHITC,
10284,60,27.2,20,0.25,544,QUICK,
10284,67,11.2,5,0.25,56,RATTC,
10285,1,14.4,45,0.2,648,FAMIA,
10285,40,14.7,40,0.2,588,WANDK,
10285,53,26.2,36,0.2,943.2,SPLIR,
10286,35,14.4,100,0,1440,LAMAI,
10286,62,39.4,40,0,1576,ERNSH,
10287,16,13.9,40,0.15,556,FURIB,
10287,34,11.2,20,0,224,PICCO,
10287,46,9.6,15,0.15,144,PERIC,
10288,54,5.9,10,0.1,59,AROUT,
10288,68,10,3,0.1,30,WANDK,
10289,3,8,30,0,240,LILAS,
10289,64,26.6,9,0,239.4,LAMAI,
10290,5,17,20,0,340,SEVES,
10290,29,99,15,0,1485,BLONP,
10290,49,16,15,0,240,QUICK,
10290,77,10.4,10,0,104,BONAP,
10291,13,4.8,20,0.1,96,DRACD,
10291,44,15.5,24,0.1,372,EASTC,
10291,51,42.4,2,0.1,84.8,ANTON,
10292,20,64.8,20,0,1296,GALED,
10293,18,50,12,0,600,VAFFE,
10293,24,3.6,10,0,36,ERNSH,
10293,63,35.1,5,0,175.5,SPLIR,
10293,75,6.2,6,0,37.2,CHOPS,
10294,1,14.4,18,0,259.2,LAMAI,
10294,17,31.2,15,0,468,QUEEN,
10294,43,36.8,15,0,552,HUNGO,
10294,60,27.2,21,0,571.2,WOLZA,
10294,75,6.2,6,0,37.2,HUNGC,
10295,56,30.4,4,0,121.6,MEREP,
10296,11,16.8,12,0,201.6,SEVES,
10296,16,13.9,30,0,417,FOLKO,
10296,69,28.8,15,0,432,QUEDE,
10297,39,14.4,60,0,864,HUNGO,
10297,72,27.8,20,0,556,LILAS,
10298,2,15.2,40,0,608,ERNSH,
10298,36,15.2,40,0.25,608,AROUT,
10298,59,44,30,0.25,1320,BERGS,
10298,62,39.4,15,0,591,SPLIR,
10299,19,7.3,15,0,109.5,FAMIA,
10299,70,12,20,0,240,SANTG,
10300,66,13.6,30,0,408,SEVES,
10300,68,10,20,0,200,BOTTM,
10301,40,14.7,10,0,147,ERNSH,
10301,56,30.4,20,0,608,DRACD,
10302,17,31.2,40,0,1248,PICCO,
10302,28,36.4,28,0,1019.2,SAVEA,
10302,43,36.8,12,0,441.6,HUNGC,
10303,40,14.7,40,0.1,588,HILAA,
10303,65,16.8,30,0.1,504,FRANK,
10303,68,10,15,0.1,150,PRINI,
10304,49,16,30,0,480,SAVEA,
10304,59,44,10,0,440,VAFFE,
10304,71,17.2,2,0,34.4,EASTC,
10305,18,50,25,0.1,1250,RATTC,
10305,29,99,25,0.1,2475,ERNSH,
10305,39,14.4,30,0.1,432,ERNSH,
10306,30,20.7,10,0,207,MAGAA,
10306,53,26.2,10,0,262,LINOD,
10306,54,5.9,5,0,29.5,QUEEN,
10307,62,39.4,10,0,394,OTTIK,
10307,68,10,3,0,30,FOLIG,
10308,69,28.8,1,0,28.8,OCEAN,
10308,70,12,5,0,60,BOTTM,
10309,4,17.6,20,0,352,BOTTM,
10309,6,20,30,0,600,WARTH,
10309,42,11.2,2,0,22.4,LAMAI,
10309,43,36.8,20,0,736,FAMIA,
10309,71,17.2,3,0,51.6,HUNGC,
10310,16,13.9,10,0,139,WARTH,
10310,62,39.4,5,0,197,SIMOB,
10311,42,11.2,6,0,67.2,QUICK,
10311,69,28.8,7,0,201.6,RICSU,
10312,28,36.4,4,0,145.6,WELLI,
10312,43,36.8,24,0,883.2,QUEDE,
10312,53,26.2,20,0,524,FRANS,
10312,75,6.2,10,0,62,GOURL,
10313,36,15.2,12,0,182.4,MEREP,
10314,32,25.6,40,0.1,1024,LAMAI,
10314,58,10.6,30,0.1,318,GALED,
10314,62,39.4,25,0.1,985,PICCO,
10315,34,11.2,14,0,156.8,REGGC,
10315,70,12,30,0,360,HUNGO,
10316,41,7.7,10,0,77,ERNSH,
10316,62,39.4,70,0,2758,BOTTM,
10317,1,14.4,20,0,288,SPLIR,
10318,41,7.7,20,0,154,PRINI,
10318,76,14.4,6,0,86.4,FOLKO,
